10187 - RH0313 DESCASCADOR;7896502801183;Categoria 1;20.39;36.21
10188 - TIGELA OXFORD BIONA VIDRO REDONDA 2L BA37;7894993108255;Categoria 1;13.53;26.5
10189 - TIGELA BRINOX MULTIUSO SILICONE 21,5 2107/011;7896502824625;Categoria 1;21.33;33.74
1019 - GARRAFA TERMICA TERMOPRO PRESSAO TRIX 3,5L TP6505;7898497571683;Categoria 1;141.06;310.9
10190 - CONCHA BRINOX ARIENZO PROF 1667/021;7896502800612;Categoria 1;38.62;60.83
10191 - CJ.BRINOX GANCHOS 06P TOP PRATIC 2202/300;7896502809240;Categoria 1;19.61;33.08
10192 - ESCUMADEIRA BRINOX ARIENZO PROF 2667/016;10192;Categoria 1;33.01;52
10193 - LIXEIRA BRINOX PEDAL R:3047/100 RETANGULAR;7896502825240;Categoria 1;83.32;131.76
10194 - VINAGREIRO BRINOX PARMA 500ML 1573/022;7896502883462;Categoria 1;16.91;24.5
10195 - AZEITEIRO BRINOX PARMA 500ML 1573/012;7896502883431;Categoria 1;13.87;22.14
10196 - TRAVESSA BRINOX LYON RED TPA/VDO 28 2391/128;7896502892259;Categoria 1;53.57;88.25
10197 - JARRA BRINOX ARIENZO 2,9L TPA 1658/003;7896502804146;Categoria 1;80.65;135.98
10198 - ABRIDOR BRINOX ESPUMANTE;7896502825073;Categoria 1;18.91;31.02
10199 - RALADOR BRINOX FATIADOR ALHO 2204/321;7896502836697;Categoria 1;8.61;14.99
102 - FORMA OPEN HOUSE BOLO S/CANO N-22;7898178932901;Categoria 1;3.43;0.01
10200 - TIGELA BRINOX MULTIUSO SILICONE 25,5;7896502824632;Categoria 1;31.06;51.17
10201 - AP.GALLE JANTAR CLASSIC AZUL 42P D156736;10201;Categoria 1;197.4;354.98
10203 - COLHER BRINOX LYON MEDIA 5100/129;7896502808502;Categoria 1;1.48;3.44
10204 - CORTADOR ANODILAR CORTA BEM R:846 BAZAR;10204;Categoria 1;10.76;18.09
10205 - CORTADOR ANODILAR CORTA AGNOLINI 843;7898254184347;Categoria 1;9.5;17.21
10206 - CORTADOR ANODILAR CORTA GROSTOLI 2133-345;7898254182114;Categoria 1;8.64;16.1
10207 - TIGELA STA.MARINA DURALEX 0,75L C/TP 0706;7894993157604;Categoria 1;7.97;12.54
10208 - TIGELA STA.MARINA DURALEX 1L C/TP 0701;7894993152005;Categoria 1;8.78;13.88
10209 - TIGELA STA.MARINA DURALEX 2L C/TP 0727;7894993108286;Categoria 1;13.97;23.31
1021 - ABRIDOR TRAMONTINA GARRAFA UTILITA 25604/110;7895730072419;Categoria 1;22.34;38.07
10210 - TIGELA STA.MARINA DURALEX 3L PLUS 0308.03;7894993031232;Categoria 1;13.5;23.31
10211 - AP.GALLE JANTAR CLASSIC PRATA 42P D156733;10211;Categoria 1;197.4;354.98
10212 - SOUPLAT MIMO STYLE JACQUARD/CROCO;7898452510337;Categoria 1;12.43;20.98
10213 - SOUSPLAT MIMO STYLE QUAD JACQUARD SP10107;10213;Categoria 1;12.43;20.98
10214 - SOUSPLAT COZA REDONDO 40528;10214;Categoria 1;0.01;10.88
10215 - SOUSPLAT MIMO STYLE QUAD TRELICA SP10109;10215;Categoria 1;12.43;20.98
10216 - BOWL MIMO STYLE DUO BICOLOR CR10164 unidade;7898452510771;Categoria 1;6.85;11.66
